player_id,first_name,last_name,team name,oppenent team name,total points predicted
159,Manuel Benson,Hedilazio,Burnley,Arsenal,0.389
160,Jordan,Beyer,Burnley,Arsenal,0.901
161,Josh,Brownhill,Burnley,Arsenal,1.09
162,Darko,Churlinov,Burnley,Arsenal,0.389
163,Jack,Cork,Burnley,Arsenal,0.389
164,Dara,Costelloe,Burnley,Arsenal,0.389
165,Josh,Cullen,Burnley,Arsenal,0.933
166,CJ,Egan-Riley,Burnley,Arsenal,0.427
167,Hjalmar,Ekdal,Burnley,Arsenal,0.427
168,Lyle,Foster,Burnley,Arsenal,1.184
169,Denis,Franchi,Burnley,Arsenal,0.31
170,Jóhann Berg,Gudmundsson,Burnley,Arsenal,1.226
171,Luke,McNally,Burnley,Arsenal,0.427
172,Arijanet,Muric,Burnley,Arsenal,0.31
173,Dara,O'Shea,Burnley,Arsenal,0.719
174,Michael,Obafemi,Burnley,Arsenal,0.28
175,Bailey,Peacock-Farrell,Burnley,Arsenal,0.31
176,Connor,Roberts,Burnley,Arsenal,0.742
177,Jay,Rodriguez,Burnley,Arsenal,0.904
178,Charlie,Taylor,Burnley,Arsenal,1.195
179,Bobby,Thomas,Burnley,Arsenal,0.427
180,Scott,Twine,Burnley,Arsenal,0.389
181,Lawrence,Vigouroux,Burnley,Arsenal,0.31
182,Victor,da Silva,Burnley,Arsenal,0.519
183,Wout,Weghorst,Burnley,Arsenal,0.28
184,Anass,Zaroury,Burnley,Arsenal,0.488
185,Ethan,Ampadu,Chelsea,Man City,0.441
186,Andrey,Nascimento dos Santos,Nott'm Forest,West Ham,0.418
187,Kepa,Arrizabalaga,Chelsea,Man City,0.283
188,Pierre-Emerick,Aubameyang,Chelsea,Man City,0.278
189,César,Azpilicueta,Chelsea,Man City,0.441
190,Abdul Rahman,Baba,Chelsea,Man City,0.441
191,Benoît,Badiashile,Chelsea,Man City,0.441
192,Marcus,Bettinelli,Chelsea,Man City,0.283
193,Armando,Broja,Chelsea,Man City,0.753
194,Trevoh,Chalobah,Chelsea,Man City,0.441
195,Ben,Chilwell,Chelsea,Man City,0.441
196,Carney,Chukwuemeka,Chelsea,Man City,0.335
197,Levi,Colwill,Chelsea,Man City,1.338
198,Marc,Cucurella Saseta,Chelsea,Man City,1.103
199,Enzo,Fernández,Chelsea,Man City,1.119
200,David Datro,Fofana,Chelsea,Man City,0.278
201,Wesley,Fofana,Chelsea,Man City,0.441
202,Conor,Gallagher,Chelsea,Man City,1.338
203,Malo,Gusto,Chelsea,Man City,0.454
204,Lewis,Hall,Newcastle,Bournemouth,1.285
205,Callum,Hudson-Odoi,Nott'm Forest,West Ham,0.683
206,Reece,James,Chelsea,Man City,1.007
207,Romelu,Lukaku Bolingoli,Chelsea,Man City,0.278
