gameWeek,minutes_played_last5,clean_sheets_last5,bps_last5,player_starts_last5,expected_goals_last5,expected_assists_last5,expected_goal_involvements_last5,expected_goals_conceded_last5,total_points_last5,difficulty,is_home_team,player_type_1,player_type_2,player_type_3,player_type_4
3,3.828641396489095,0.0,2.302585092994046,0.4054651081081644,0.0,0.004987541511038968,0.004987541511038968,0.7443154671343447,0.9162907318741551,3,1,0,1,0,0
11,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,0,0,1,0
8,3.5085558999826545,0.0,2.341805806147327,0.3364722366212129,0.013902905168991434,0.03343477608623742,0.04688358589885046,0.3378997886123983,1.2237754316221157,4,1,0,0,1,0
7,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,4,1,0,0,1,0
3,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,1,0
6,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,5,0,0,1,0,0
11,2.3608540011180215,0.0,2.1041341542702074,0.0,0.03729578474369693,0.007968169649176881,0.044973365642731196,0.13627761829254775,1.2237754316221157,2,0,0,0,1,0
2,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,1,0
11,4.51085950651685,0.1823215567939546,2.9856819377004897,0.6931471805599453,0.011928570865273812,0.11511280710050448,0.12575120530556025,0.7352483565785809,1.3862943611198906,3,1,0,1,0,0
10,4.0943445622221,0.0,2.667228206581955,0.47000362924573563,0.05638033343610769,0.14149956227369942,0.1906203596086497,0.5044050559630681,1.6094379124341003,4,0,0,0,1,0
8,4.074141854904581,0.0,1.916922612182061,0.47000362924573563,0.12221763272424911,0.10975086395911929,0.2199384203652614,0.9017860456712733,1.2237754316221157,2,0,0,0,0,1
9,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,1,0,0
3,4.51085950651685,0.0,2.9444389791664403,0.6931471805599453,0.024692612590371414,0.0,0.024692612590371414,0.8263660243461681,1.3862943611198906,4,0,0,1,0,0
10,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,0,1,0,0
7,4.177459468932607,0.0,2.2617630984737906,0.5877866649021191,0.041141943331175,0.035367143837291344,0.07510747248680548,0.8687797492031033,1.0296194171811581,5,1,0,1,0,0
9,4.162003210695915,0.3364722366212129,2.5494451709255714,0.5877866649021191,0.001998002662673058,0.05448818528406957,0.056380333436107474,0.7060634058264915,1.4350845252893227,3,0,0,0,1,0
11,1.2237754316221157,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.19885085874516517,0.6931471805599453,3,1,0,1,0,0
7,4.290459441148391,0.3364722366212129,3.0349529867072724,0.5877866649021191,0.005982071677547469,0.054488185284069776,0.060153922819746936,0.555033878430311,1.6486586255873816,2,0,0,1,0,0
6,3.3603753871419,0.1823215567939546,2.91235066461494,0.1823215567939546,0.31772619380015765,0.06765864847381466,0.36741704047063445,0.2956502421009577,1.8562979903656263,2,1,0,0,0,1
5,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,1,0,0,0,1
11,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,3,0,0,0,1,0
6,4.51085950651685,0.3364722366212129,3.186352633162641,0.6931471805599453,0.007968169649176881,0.011928570865273812,0.01980262729617951,0.8415671856782185,1.6486586255873816,4,0,0,1,0,0
9,4.377014092850337,0.0,2.533696813957432,0.6931471805599453,0.011928570865273812,0.005982071677547469,0.017839918128331016,0.9601162114141845,1.4350845252893227,2,0,0,0,1,0
6,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,5,0,0,1,0,0
6,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,2,0,0,0,0,1
